username,userid
Dedalus,4744
sunrise,18687
fraew,804
Voice of reason,1816
accidentswillhappen,585
thrdklla,1448
blotter,1429
whathappened,146537
Hudsucker,4906
Chyet,1552
Grand Epic,1033
catatronic,2936
dimetrodons 'r' us,37905
i was drunk last night,339
a new dad for all,144015
belgavin,2398
Dawn Running Bear,989
nicknap,4339
Itsmecraig,482
spaghettiandblankets,421
Self Destructive Zone,1849
separator,145869
Dr. Fraiser Crane,143949
sconies,19568
Lorem Ipsum,146408
dog liver,2591
wlad,36607
ShumpsandaBump,32811
Stuntman,16829
christmas teeth,1282
sigmonrunner,4826
MoneyTheBear,1229
ToasterBoy,1432
Ankh,2753
teach me metric,706
slothrop,2353
Brunch Buttsteak,1544
mariavesperi,142926
carrion friend,29217
friend,140
eponymous,599
ssshhhooo,1320
Destroid,462
Big Gay Baby,409
theoden king,32072
Malcolm Gladwell,35688
ScroogeMcDuck,2114
acedick,143165
hi-res,2083
Fiver,670
fuck me beetlejuice,144803
danny glover,2588
werd,99177
forest design,1931
Steve & Co,2294
sam,964
jewels,169
grnz,2229
Fuck mustard,144130
waterwhatever,145225
speakers,2430
transcription,334
Gyant,32816
internetstrange,142318
a is jump,270
Lucy Furr,10145
Conjectures win,144272
daver,1837
shame dawg,33410
diet arnold palmer,235
cordoba,289
Pascal Cygan,31247
dapperpuss,1670
thegreatflaneur,142932
prexy,31548
clayraaat,1642
Marcel Juiced,36608
Potential Boarder,31816
chairkicker,28372
thelonghaul,4289
Byron Chumlolington the Third,142282
James Woods,2587
trebel,578
vampirebear,4733
toots,1557
txtmsg,144007
paper moon,144054
tron,479
statue of a reformer,2390
yourekidding,2263
theharvardcomma,2251
You're a jerk.,3171
slops,144824
fuckyoudad,142283
bonedaddys waitress,143942
zamboni,368
Lyndon,32087
George Ricotta,36810
babybaby,12785
otis,1533
Tuba Gooding Jr,145915
notlenny,40611
ottbot,60512
Secret Kastle,145368
Guffaw,1377
walt whitman,17986
dad issues,6256
little suzie's surprise,4957
KALM,601
sadville,1142
Magazine,876
mourningmaniac,143353
Felix,5000
broseph,6130
honda civic,144046
babycanteen,1094
Geoff,2330
lemon lime time,4353
ghostmouth,1859
dbag,1182
fresh salad,694
burst,1027
m law,1840
bicycle made for two,22612
MonkeyTennis,5037
fatrick,287
Semper Fudge,13699
allinator,142943
bailefunked,2886
Lou Champagne,144448
spacetravels,12956
camping,189
crooked,644
nil!,453
All Star Sandwich,98442
The Defenestrator,744
Jonah,139178
chewy,2449
ClapYerHandz,927
jumper,144117
mancubz,37903
semigroupoid,1482
kpmns,6891
pizzapartiez,33516
big cat,34184
Jenda,33142
jett,770
parapet,242
Thistles,142303
spix et chicho,532
Primary,2556
comet,1408
Jeremy,604
ILM,1655
Grumby,79850
miraculating machine,143332
the scofflaw,602
oftoronto,2158
ledbetter,1578
Billa Clack,142323
SmoothOperator,12159
tottering faith,114027
mycrippedfriend,95177
Questhate,5040
--brutus,145539
Dear You,615
Phil,417
WAC,2410
andrei,251
unpredictable landlord,296
brownlights,245
plashy,40651
Deckard,650
ghostguts,1301
hired goon,142897
E-400,431
DJUNGELKUNGEN,756
Mr. Conductor,1097
mr. bear,2091
robert dinero,83865
thriftyrocker,340
joymonger,847
bluemachine,6202
HarryLime,1988
Macgregor,973
grammatron,342
nautical hyperblast,1987
orenthal_s,262
ghdvfddzgzdzg,1430
Albus,554
Midge,4341
spiraling,1394
Kiki,29745
Aeris Hilton,143394
slizwiz,145830
jeffrey,142423
nobalance,2099
your army,827
basenjis chortle,595
(^_^) tasty,582
Dirty Penny,2057
a trill ass ghost,5341
boonie,208
do3D,4736
spoonful,1945
freestamp,36572
broodstar,102739
familyfreeskate,589
Smiling Penner-Lite,398
rare sword collection,1364
Timothy,495
Toni Turner,143667
slime,699
abominog,564
van hammersly,2297
thetestis,144757
LloydChristmas,2074
fredcast,2704
head gardener,1357
bloo,144763
spin_spin_Capote,2583
Mr. Science,1081
crepuscular,142401
MDR-psike,1117
eghck,4934
screaming emphysema,866
bluemovers,136
a pharmacy,40985
pizzainchief,60544
deadbass,12905
bluemoon,34384
Percy Dovetonsils,406
Oblivian,5324
Don Marco,1589
Shoe,2878
cannedbees,36353
clambake,45928
Breath Mint,2303
verbal,1321
Stinky,2305
d2michael,9334
the brown cow,12008
pickles,22554
crystal.migraine,2070
pennyfive,1477
pinkerton,213
uaxactun,997
ka73,1138
hull Bound,4978
Catullus,151
tijuana lady,21015
gauloises,4757
peshay,4761
Eyeball Kid,4508
Happy Misanthrope,106
disco no priss,145062
Area Man,7725
reversemigraine,173
StevieD,617
matadorph,451
Ghost of Spartacus,142940
GeniusoftheCrowd,5041
inbox,6508
aluckydevil,144805
Paul Simon,11974
inafoxhole,4942
aVoider,1091
August West,144314
Luta,33137
havingsomethoughts,76604
narc blossom,69193
iambic,1387
saranclaps,1163
PellegrinoPapi,144707
organsolo,2387
mich,367
Hoxha,3692
*__*,2401
stochasm,3259
terminus,1998
SPEED ACE,1602
Crocus Behemoth,2096
Mandible,142535
ueckerist,2092
Gussie Fink-Nottle,2024
john locke,494
miguel,1099
Night porter,143917
DigEm,2101
deer,7367
l.ambient,219
Bob511,59
cubistcastle,4719
JUGLIFE,201
mouthful of sores,9885
fiddles,1832
Jake,330
travelin' bill berry,6065
facebook.com,28068
what's he building in there!?,4104
word count,147171
poop,1098
deep blue meanies,23759
shizaam,12495
"TASKER, JERRY L",197
snitch,4890
sordid affair,1030
tricky,424
TRIFLIN' ASS MILTON,33317
Spinoza,2312
preppy,3903
roman_bellic,31750
fizzle,1191
education in reverse,859
pugnax,142424
ralau,34977
franzkafkaesque,2157
wormz,4450
stephenhandley,117017
la croix,563
CudNylon,501
Hornophobic,917
joebobmccrackin,2088
gotthemtoboardhere,144776
Tai-Pan,1911
WHALEJARK-EN-CIEL,11530
Asymmeter,3775
delgriffith,2357
hideout,36346
Arturo,443
jumpcut,5014
Frank Lapidus,4768
Scrooge McFuck,9823
Milquetoaster Strudels,1649
VH Balanced,624
glumble,2069
wei-chuan,1080
Steve and co,142443
dusky,122287
Sissy Spacerock,293
Klint,226
fackelmann,142291
tex porneau,28185
Sam Bash,995
ashy larry,32607
denvermax,3947
standard homo bullshit,144215
Zwischenzug,399
goofjan grievens,37213
robotculinaire,142431
naturemorte,910
cosette,16591
pissywife,33126
Blorp,1860
whatsgoingon,5050
Totally,2184
evil olive,1049
c-p,963
Hollowperspectiv,757
christian,2089
half-cat,2601
KPH,108
noiseandpop,1358
bespokey,144006
Clayton Bigsby,4755
Gimbodo,5866
women's gymnastics,144208
came to wreck,7376
905,4909
My Pal the Crook,4702
Intervalo,142272
Cone,19509
Skully,2053
good_maritimes,653
NastyNate,5001
bigpussy,142417
incandenza,2104
Dad: The Boarder,1443
Colonel Longshanks,76
wiccanburn,142388
taargues,809
mooncalf,142320
dash helmut,1480
techno beats,145
demis,1915
landspeedrecord,2504
The Munificent Motherwell,909
MikeS,170
Turner_Brown,121
moffett,1948
Franklin Delano Roosevelt,830
king ding-a-ling,12957
nicecatbutchicken,36831
splasm,572
ahungbunny,739
burpcontest,2110
noosecast,36556
fulltext,2046
piedpiper,221
Mrk'smassivehands,4801
Buzz Fledderjohn,527
Slamwich Artist,341
SATAN,243
Todd Margaret,1546
chopperpilot,2476
sleeping,142290
Seamus,2252
